feature,target,mean_r,sd_r,min_r,max_r,sign_consistency,mean_spearman,mean_p,n_sig05
shape_aniso,a_p,0.27945835152242593,0.044844723930915445,0.22061221821969312,0.36197161545590706,10,0.5223864258347016,0.16062703338619544,0
shape_aniso,ddg_pcc,0.26223016714447517,0.05527708497872294,0.10681102113612972,0.3073790219154456,10,0.3116037219485495,0.1956903138435584,0
shape_aniso,a_dg,0.2794583503491451,0.044844723836620824,0.22061221785345397,0.36197161796378147,10,0.5223864258347016,0.16062703511492443,0
hull_vol,b_p,-0.02923827862898056,0.17714196958619405,-0.21062105060956984,0.27637027348228127,7,-0.1102900930487137,0.41955855167017286,0
hull_vol,abs_b_p,0.1573737003379081,0.1682645477383211,-0.25111362127831816,0.31438530830114114,9,0.06480569239189929,0.3441035788299779,0
hull_vol,a_p,-0.013390304674381435,0.06272027596558022,-0.11022436779584041,0.11365749245947053,7,-0.037164750957854396,0.7834344882088764,0
hull_vol,ddg_pcc,-0.13211521136268353,0.04408538889819905,-0.19174237542533504,-0.03101498960353938,10,-0.2926655719759168,0.5119187538589489,0
hull_vol,a_dg,-0.013390307267148044,0.06272027599754566,-0.110224371317007,0.11365748984153656,7,-0.037164750957854396,0.7834344843273311,0
hull_area,b_p,0.05584748698078583,0.16615786519511433,-0.1140328080999938,0.3383897368404791,5,-0.01587301587301588,0.5822497529131581,0
hull_area,abs_b_p,0.1341730107849115,0.17649729358409214,-0.2992242165246061,0.3010932120713903,7,0.14220032840722494,0.37332107843108303,0
hull_area,a_p,0.07519717778234794,0.0654259737501074,-0.023111589520810598,0.2083528826757396,9,0.06004378762999453,0.7007213349754757,0
hull_area,ddg_pcc,-0.08334086695212309,0.03420719807078664,-0.14248273233986825,-0.019468000520221296,10,-0.24663382594417077,0.6774052109401492,0
hull_area,a_dg,0.07519717506823206,0.06542597362538906,-0.023111592954884706,0.2083528797754494,9,0.06004378762999453,0.7007213419078087,0
sphericity,b_p,-0.37954179022861273,0.047835317455903435,-0.4324804901002437,-0.2807774700753866,10,-0.3869184455391351,0.05458510748159985,6
sphericity,abs_b_p,0.0786041872831433,0.11664431694126179,-0.1398514801798218,0.24531552797022935,8,-0.0057471264367816135,0.5143682623092702,0
sphericity,a_p,-0.4316575494111053,0.035968027789555886,-0.5045592364874218,-0.37417179421599145,10,-0.5430760810071156,0.024545211554977013,10
sphericity,ddg_pcc,-0.2033919524105942,0.06676004156067965,-0.262271855298293,-0.022195085742125358,10,-0.17077175697865352,0.32361458370589363,0
sphericity,a_dg,-0.4316575482677867,0.03596802847860688,-0.5045592383026977,-0.3741717920931961,10,-0.5430760810071156,0.02454521206976757,10
vol_per_res,b_p,0.23582515779916782,0.06578412024268133,0.11542879949624309,0.3304536490337624,10,0.27547892720306516,0.2524880266778177,0
vol_per_res,abs_b_p,-0.1919418134663085,0.1365496590155767,-0.41393433166794685,0.042614404591540214,9,-0.1402846195949644,0.3924240965156014,1
vol_per_res,a_p,0.44083963155388906,0.03498917476709094,0.37542240743433236,0.5135005150298239,10,0.48286808976464146,0.021277253035827913,10
vol_per_res,ddg_pcc,0.28640553458219214,0.02531859070077887,0.23887311941722975,0.32166558176343774,10,0.2652983032293378,0.14302122843848608,0
vol_per_res,a_dg,0.44083962871611604,0.034989174394388686,0.37542240498881807,0.5135005112162803,10,0.48286808976464146,0.02127725391278796,10
n_contacts,b_p,-0.0091098479594337,0.1492080477289741,-0.1787830647534999,0.23094587759523472,7,0.010975776755309339,0.5256047653683293,0
n_contacts,abs_b_p,0.24671810535747443,0.13644423424384555,-0.1345678751489011,0.40928780197634174,9,0.2659915174765491,0.18361298201338488,1
n_contacts,a_p,-0.23241940623040364,0.07249956504733866,-0.3292147155991982,-0.09702951601750222,10,-0.22865745389988587,0.26524255239611144,0
n_contacts,ddg_pcc,-0.23481060029331605,0.043642425643831896,-0.27490364951208285,-0.11947808442205479,10,-0.34553168518460126,0.24057495701869444,0
n_contacts,a_dg,-0.232419405864357,0.07249956480318974,-0.32921471450151674,-0.09702951588390028,10,-0.22865745389988587,0.2652425529528709,0
contact_density,b_p,0.17299472065906812,0.08237845505716611,0.054042040271351066,0.30867579375333587,10,0.18330596606458674,0.417443840524681,0
contact_density,abs_b_p,0.1857578208536905,0.14152112902781283,-0.18038342853444161,0.3009832988013011,9,0.2267104542966612,0.28826470690867945,0
contact_density,a_p,-0.2424726795042173,0.07861097884424127,-0.35830505423305087,-0.09134849358927982,10,-0.2400656814449918,0.24987793972976524,0
contact_density,ddg_pcc,-0.09347019955986484,0.038505277547555505,-0.1320619216724922,0.009838356201501024,9,-0.22282430213464693,0.6329385000417724,0
contact_density,a_dg,-0.242472677175373,0.07861097811259495,-0.3583050503295641,-0.09134849420662094,10,-0.2400656814449918,0.24987794371034414,0
CO_abs,b_p,0.22615253079394834,0.12791191197660584,0.08895195075196263,0.44883103363423593,10,0.2705528188286809,0.3375768636118649,2
CO_abs,abs_b_p,0.14227475224657132,0.17200539826375846,-0.3390093873963832,0.29016385346451895,9,0.22764094143404487,0.31706714105625533,0
CO_abs,a_p,-0.030055234560865035,0.08466196487113417,-0.12155779200434415,0.17645607944158712,7,0.10700602079912425,0.6983471510941196,0
CO_abs,ddg_pcc,-0.050735870072437975,0.05063652814882057,-0.12781511181693134,0.05413215790909853,9,-0.22151067323481116,0.7599369112047151,0
CO_abs,a_dg,-0.030055234829046384,0.0846619647462585,-0.12155779234850188,0.17645607839390237,7,0.10700602079912425,0.698347151563285,0
RCO,b_p,0.3799541376531974,0.07498247439494733,0.2805337323989358,0.5170423141728493,10,0.36261631089217294,0.06348294322970213,4
