feature,target,r_all,sign_all,r_natural21,sign_nat,r_partial_nres,loo_worst,loo_min,loo_max
asphericity,a_p,0.3563292588857511,10,0.3279878359707504,10,0.35796738217865565,0.27974155213141266,0.27974155213141266,0.42874859151899614
asphericity,b_p,0.43482863298989366,10,0.29626157061178243,10,0.44150938187118083,0.3227791013734133,0.3227791013734133,0.5323094133908863
asphericity,abs_b_p,-0.2018633114881955,10,-0.4111547394679871,10,-0.2016429832352938,0.013575236312927997,-0.30792808136203986,0.013575236312927997
asphericity,ddg_pcc,0.3522104865542873,10,0.38070187184555354,10,0.3579825714566264,0.204688250220363,0.204688250220363,0.39479047427505043
acylindricity,a_p,0.27940768295626034,10,0.48384876373226493,10,0.1918710441839242,0.2021693125706973,0.2021693125706973,0.35010763410429213
acylindricity,b_p,0.06119446787308103,7,0.0002742929272336686,6,-0.029730470134696662,-0.008986628912453293,-0.008986628912453293,0.11606546885134757
acylindricity,abs_b_p,-0.047572566112260704,7,0.05190060039271297,6,0.14927244872884862,0.023763518589474664,-0.10990374881888723,0.023763518589474664
acylindricity,ddg_pcc,0.2795814332317418,10,0.24131606751340176,10,0.14251363020608462,0.22213583095853698,0.22213583095853698,0.3799685677821502
shape_aniso,a_p,0.27945835152242593,10,0.25121904518380866,9,0.2655748706003237,0.2292142103871523,0.2292142103871523,0.3544935134562316
shape_aniso,b_p,0.35171475368394606,10,0.15880078880687562,10,0.34835247465508135,0.25809543713991034,0.25809543713991034,0.4673714637169632
shape_aniso,abs_b_p,-0.11335023251995005,8,-0.2745600013687265,10,-0.09091512632199161,0.016470192624264503,-0.2149589787235847,0.016470192624264503
shape_aniso,ddg_pcc,0.26223016714447517,10,0.24416016116006514,10,0.24584004593946407,0.19060996324030538,0.19060996324030538,0.30042545745930677
hull_vol,a_p,-0.013390304674381435,7,-0.44528499890600576,10,0.38883380716067384,0.1053875915389744,-0.13459751476489074,0.1053875915389744
hull_vol,b_p,-0.02923827862898056,7,-0.19666253232567926,8,0.20187359287905954,0.08415805289145359,-0.11115266974231927,0.08415805289145359
hull_vol,abs_b_p,0.1573737003379081,9,0.22858013784048103,9,-0.16016600128551478,0.06454313554695994,0.06454313554695994,0.2346052718456375
hull_vol,ddg_pcc,-0.13211521136268353,10,-0.36448793728671575,10,0.25727551917106617,-0.027729389398662613,-0.34334485963017436,-0.027729389398662613
hull_area,a_p,0.07519717778234794,9,-0.3577208492252155,10,0.47268544846128957,-0.03823562749809552,-0.03823562749809552,0.19748666654754354
hull_area,b_p,0.05584748698078583,5,-0.13760828328812713,7,0.3157240019994862,-0.023122959505960276,-0.023122959505960276,0.15477344065205195
hull_area,abs_b_p,0.1341730107849115,7,0.17839536698631236,9,-0.15401712132238005,0.06640234036681819,0.06640234036681819,0.21334101202699504
hull_area,ddg_pcc,-0.08334086695212309,10,-0.3134140019253294,10,0.2827993974014346,0.003034388242480217,-0.2885837072727213,0.003034388242480217
sphericity,a_p,-0.4316575494111053,10,-0.4896926373215358,10,-0.41534529615665716,-0.3916066072268023,-0.48184995419466015,-0.3916066072268023
sphericity,b_p,-0.37954179022861273,10,-0.26056402372269594,10,-0.3730973429292418,-0.2939561492661203,-0.4489221643805702,-0.2939561492661203
sphericity,abs_b_p,0.0786041872831433,8,0.24166007519961846,10,0.043127849177917794,-0.0579858107972863,-0.0579858107972863,0.17229693402133556
sphericity,ddg_pcc,-0.2033919524105942,10,-0.286249510637124,10,-0.17249569363798017,-0.11440227593570743,-0.24000837211044526,-0.11440227593570743
vol_per_res,a_p,0.44083963155388906,10,0.32700938960963616,10,0.43365068609978313,0.38257491465281074,0.38257491465281074,0.5076118330029651
vol_per_res,b_p,0.23582515779916782,10,0.13064780608385318,9,0.2292475415657811,0.1839991930151362,0.1839991930151362,0.36066655647893964
vol_per_res,abs_b_p,-0.1919418134663085,9,-0.23569398989353094,10,-0.17412766745760114,-0.12589725446943204,-0.24676657257848614,-0.12589725446943204
vol_per_res,ddg_pcc,0.28640553458219214,10,0.30903315423169697,10,0.2726844534721044,0.21159496462733268,0.21159496462733268,0.35944950401323494
n_contacts,a_p,-0.23241940623040364,10,-0.47312996712151045,10,-0.09158207992227459,-0.13978008178034051,-0.3432395778450707,-0.13978008178034051
n_contacts,b_p,-0.0091098479594337,7,-0.05879936519368839,7,0.3378581520079149,0.07950187374707979,-0.10434689523543303,0.07950187374707979
n_contacts,abs_b_p,0.24671810535747443,9,0.2805476137876392,9,0.012404721455538783,0.1890023818912252,0.1890023818912252,0.3405376863343635
n_contacts,ddg_pcc,-0.23481060029331605,10,-0.42646311394082825,10,0.0744555896187434,-0.17912825320816478,-0.40504772960443686,-0.17912825320816478
contact_density,a_p,-0.2424726795042173,10,-0.28529176055431243,10,-0.1542735357167802,-0.15980890136768353,-0.3311148776228898,-0.15980890136768353
contact_density,b_p,0.17299472065906812,10,0.19028271091374369,10,0.3024262045690817,0.0560931439708528,0.0560931439708528,0.23023307399095297
contact_density,abs_b_p,0.1857578208536905,9,0.18522510269450843,9,0.055211186514025644,0.10901990932259857,0.10901990932259857,0.26808935836741166
contact_density,ddg_pcc,-0.09347019955986484,9,-0.28092969072966,10,0.0721904809649834,-0.04907993893287053,-0.19981549113018837,-0.04907993893287053
CO_abs,a_p,-0.030055234560865035,7,-0.30687747746360416,10,0.1540235017627733,0.0708079501181749,-0.11489103698951353,0.0708079501181749
CO_abs,b_p,0.22615253079394834,10,0.07904672177923167,6,0.4345218184074602,0.1525984402218931,0.1525984402218931,0.3713714096393158
CO_abs,abs_b_p,0.14227475224657132,9,0.10945285352683345,9,-0.0409823911648414,0.05320732282611649,0.05320732282611649,0.2910363434322392
CO_abs,ddg_pcc,-0.050735870072437975,9,-0.21334633289970237,10,0.18786346410730126,0.006827743573085648,-0.19186574979905957,0.006827743573085648
RCO,a_p,0.09937980210979833,9,-0.07445642159512052,9,0.16984600487195445,0.028642575180459606,0.028642575180459606,0.18106790549909896
RCO,b_p,0.3799541376531974,10,0.26211392372416753,10,0.4464746442660402,0.29143672267797754,0.29143672267797754,0.4894358953473278
RCO,abs_b_p,0.05755127157695254,8,-0.02941712042308121,5,-0.015019202760663975,-0.034474633223050874,-0.034474633223050874,0.27074993662853675
RCO,ddg_pcc,0.08804426376202265,10,-0.017288533932747062,4,0.18043643212971747,-0.06149428927092443,-0.06149428927092443,0.1469940603905957
LRO,a_p,0.004446007723868822,3,-0.2265900183540152,10,0.2095165043716345,-0.0908603873691139,-0.0908603873691139,0.10468241620380576
LRO,b_p,0.3220354548843145,10,0.23098867520521532,10,0.5792736351014842,0.242676595338902,0.242676595338902,0.4243816866345032
LRO,abs_b_p,0.13980713705109088,9,0.10632217948662648,9,-0.051297594463531174,0.0635953158135075,0.0635953158135075,0.30752892459725034
LRO,ddg_pcc,-0.034870134982245275,9,-0.2077657963086811,10,0.2196177986580868,0.04034199672766369,-0.20043704648096497,0.04034199672766369
frac_longrange,a_p,0.058809664796959225,8,-0.19625964096329246,10,0.26234846861102007,-0.037578528412976174,-0.037578528412976174,0.16070923340203613
frac_longrange,b_p,0.31450627639283807,10,0.21065004216320196,10,0.5372146888086564,0.25240440705259787,0.25240440705259787,0.42520110857062454
frac_longrange,abs_b_p,0.12346364086517632,9,0.08968627792619385,8,-0.057707607098341385,0.05214707577342938,0.05214707577342938,0.2963117118493077
frac_longrange,ddg_pcc,-0.01640330099641646,6,-0.19719661432850127,10,0.22090307293159114,0.058313070153288404,-0.18829479374461103,0.058313070153288404
CO_heavy_abs,a_p,-0.05662228893717475,7,-0.3369003901694703,10,0.17624468759732576,0.05675503056591939,-0.14209075244826733,0.05675503056591939
CO_heavy_abs,b_p,0.19373967908706125,10,0.08396880171538751,6,0.48351527332874056,0.14055084807113283,0.14055084807113283,0.32701655268735325
CO_heavy_abs,abs_b_p,0.12263834113326069,9,0.10100839028745792,9,-0.12743533938731597,0.03680356407640376,0.03680356407640376,0.244306295373054
CO_heavy_abs,ddg_pcc,-0.09109557947792206,9,-0.24211285427709472,10,0.2048562162317679,-0.03157869728435058,-0.23337432389478927,-0.03157869728435058
RCO_heavy,a_p,0.09470387268990571,8,-0.06333124618389938,9,0.17866716876761254,0.016629620498943683,0.016629620498943683,0.19369970507386983
RCO_heavy,b_p,0.4062766083430637,10,0.3215557698675403,10,0.4893751802615364,0.3269426374428151,0.3269426374428151,0.5089089076411621
