file,protein,N,pct,end,k,hits,rate,chance,enr
abl_anchor_w0.3_s42_e14,2KVS,1206,0.15,bot,180,104,0.5777777777777777,0.14925373134328357,3.871111111111111
abl_anchor_w0.3_s42_e14,2KWH,979,0.05,top,48,22,0.4583333333333333,0.049029622063329927,9.348090277777779
abl_anchor_w0.3_s42_e14,2KWH,979,0.05,bot,48,27,0.5625,0.049029622063329927,11.47265625
abl_anchor_w0.3_s42_e14,2KWH,979,0.1,top,97,41,0.422680412371134,0.09908069458631256,4.266021893931343
abl_anchor_w0.3_s42_e14,2KWH,979,0.1,bot,97,61,0.6288659793814433,0.09908069458631256,6.347008183653948
abl_anchor_w0.3_s42_e14,2KWH,979,0.15,top,146,70,0.4794520547945205,0.1491317671092952,3.2149559016701064
abl_anchor_w0.3_s42_e14,2KWH,979,0.15,bot,146,104,0.7123287671232876,0.1491317671092952,4.7765059110527295
abl_anchor_w0.3_s42_e14,2KXD,1172,0.05,top,58,2,0.034482758620689655,0.04948805460750853,0.6967895362663495
abl_anchor_w0.3_s42_e14,2KXD,1172,0.05,bot,58,32,0.5517241379310345,0.04948805460750853,11.148632580261593
abl_anchor_w0.3_s42_e14,2KXD,1172,0.1,top,117,13,0.1111111111111111,0.09982935153583618,1.1130104463437795
abl_anchor_w0.3_s42_e14,2KXD,1172,0.1,bot,117,75,0.6410256410256411,0.09982935153583618,6.421214113521806
abl_anchor_w0.3_s42_e14,2KXD,1172,0.15,top,175,37,0.21142857142857144,0.1493174061433447,1.4159673469387755
abl_anchor_w0.3_s42_e14,2KXD,1172,0.15,bot,175,121,0.6914285714285714,0.1493174061433447,4.630595918367347
abl_anchor_w0.3_s42_e14,2L33,1333,0.05,top,66,11,0.16666666666666666,0.04951237809452363,3.3661616161616164
abl_anchor_w0.3_s42_e14,2L33,1333,0.05,bot,66,39,0.5909090909090909,0.04951237809452363,11.934573002754822
abl_anchor_w0.3_s42_e14,2L33,1333,0.1,top,133,32,0.24060150375939848,0.09977494373593399,2.4114421391825425
abl_anchor_w0.3_s42_e14,2L33,1333,0.1,bot,133,103,0.7744360902255639,0.09977494373593399,7.76182938549381
abl_anchor_w0.3_s42_e14,2L33,1333,0.15,top,199,51,0.2562814070351759,0.14928732183045762,1.716699073255726
abl_anchor_w0.3_s42_e14,2L33,1333,0.15,bot,199,147,0.7386934673366834,0.14928732183045762,4.948132622913563
abl_anchor_w0.3_s42_e14,2LQK,989,0.05,top,49,11,0.22448979591836735,0.04954499494438827,4.531028738025823
abl_anchor_w0.3_s42_e14,2LQK,989,0.05,bot,49,15,0.30612244897959184,0.04954499494438827,6.178675551853394
abl_anchor_w0.3_s42_e14,2LQK,989,0.1,top,98,29,0.29591836734693877,0.09908998988877654,2.986359850062474
abl_anchor_w0.3_s42_e14,2LQK,989,0.1,bot,98,59,0.6020408163265306,0.09908998988877654,6.0756976259891715
abl_anchor_w0.3_s42_e14,2LQK,989,0.15,top,148,64,0.43243243243243246,0.14964610717896865,2.8897005113221335
abl_anchor_w0.3_s42_e14,2LQK,989,0.15,bot,148,101,0.6824324324324325,0.14964610717896865,4.560308619430241
abl_anchor_w0.3_s42_e14,2WXC,786,0.05,top,39,19,0.48717948717948717,0.04961832061068702,9.81854043392505
abl_anchor_w0.3_s42_e14,2WXC,786,0.05,bot,39,22,0.5641025641025641,0.04961832061068702,11.368836291913215
abl_anchor_w0.3_s42_e14,2WXC,786,0.1,top,78,30,0.38461538461538464,0.09923664122137404,3.8757396449704147
abl_anchor_w0.3_s42_e14,2WXC,786,0.1,bot,78,59,0.7564102564102564,0.09923664122137404,7.622287968441815
abl_anchor_w0.3_s42_e14,2WXC,786,0.15,top,117,47,0.4017094017094017,0.14885496183206107,2.698663160201622
abl_anchor_w0.3_s42_e14,2WXC,786,0.15,bot,117,94,0.8034188034188035,0.14885496183206107,5.397326320403244
abl_anchor_w0.3_s42_e14,3DKM,1238,0.05,top,61,5,0.08196721311475409,0.049273021001615507,1.6635313087879602
